Hop Number (if a route or expedition) (Optional),System (Mandatory),Star X (Optional),Star Y (Optional),Star Z (Optional),Bookmark Group (Mandatory),Label In Group (Optional),Notes (Optional),Body Full (Required if you want a surface location to be noted),Body short (Optional),Body LS (Optional),Lat (required if you want a surface location to be noted),Long  (required if you want a surface location to be noted),Location Note Entry ( (required if you want a surface location to be noted ),Game Type (Odyssey/Horizons/Both) (Mandatory)
,Col 285 Sector US-Z b14-7,186.4375,-79.71875,-41.71875,Thargoid Spire Sites,,Thargoid Spire on body 12 c (1497 ls from star) at (Lat:33.6803| Long:-87.0504),Col 285 Sector US-Z b14-7 12 c,12 c,1497,33.6803,-87.0504,Thargoid Spire,Odyssey
,Hyades Sector HW-M b7-4,86.71875,-86.71875,-108.09375,Thargoid Spire Sites,,Thargoid Spire on body A 2 (402 ls from star) at (Lat:26.6048| Long:-92.7225),Hyades Sector HW-M b7-4 A 2,A 2,402,26.6048,-92.7225,Thargoid Spire,Odyssey
,Col 285 Sector YT-F b12-2,143.53125,-2.59375,-94.40625,Thargoid Spire Sites,,Thargoid Spire on body 2 (787 ls from star) at (Lat:30.5855| Long:14.8356),Col 285 Sector YT-F b12-2 2,2,787,30.5855,14.8356,Thargoid Spire,Odyssey
,Hyades Sector HW-M b7-1,77.90625,-90.125,-123.53125,Thargoid Spire Sites,,Thargoid Spire on body 5 (760 ls from star) at (Lat:42.0213| Long:-11.1243),Hyades Sector HW-M b7-1 5,5,760,42.0213,-11.1243,Thargoid Spire,Odyssey
,Hyades Sector EG-N b7-1,98.71875,-60.375,-118.90625,Thargoid Spire Sites,,Thargoid Spire on body A 1 (371 ls from star) at (Lat:51.6963| Long:69.6465),Hyades Sector EG-N b7-1 A 1,A 1,371,51.6963,69.6465,Thargoid Spire,Odyssey
,Col 285 Sector ZT-F b12-3,168.21875,5.5625,-95.40625,Thargoid Spire Sites,,Thargoid Spire on body A 4 (440 ls from star) at (Lat:66.0261| Long:-108.1829),Col 285 Sector ZT-F b12-3 A 4,A 4,440,66.0261,-108.1829,Thargoid Spire,Odyssey
,HR 1358,2.78125,-63.25,-141.125,Thargoid Spire Sites,,Thargoid Spire on body AB 9 e (5215 ls from star) at (Lat:31.3565| Long:3.9502),HR 1358 AB 9 e,AB 9 e,5215,31.3565,3.9502,Thargoid Spire,Odyssey
,HIP 9180,-75.1875,-143.03125,-117.65625,Thargoid Spire Sites,,Thargoid Spire on body 4 b (2754 ls from star) at (Lat:-1.1039| Long:-85.3932),HIP 9180 4 b,4 b,2754,-1.1039,-85.3932,Thargoid Spire,Odyssey
,Arietis Sector YE-R b4-3,-78.1875,-147.3125,-115.3125,Thargoid Spire Sites,,Thargoid Spire on body A 4 (597 ls from star) at (Lat:41.2256| Long:-37.8209),Arietis Sector YE-R b4-3 A 4,A 4,597,41.2256,-37.8209,Thargoid Spire,Odyssey
,Hyades Sector NT-I b9-4,-72.65625,-161.46875,-80.96875,Thargoid Spire Sites,,Thargoid Spire on body C 3 (3597 ls from star) at (Lat:50.8547| Long:97.5338),Hyades Sector NT-I b9-4 C 3,C 3,3597,50.8547,97.5338,Thargoid Spire,Odyssey
,Arietis Sector MX-U c2-19,-89.09375,-143.84375,-98.28125,Thargoid Spire Sites,,Thargoid Spire on body 8 e (1926 ls from star) at (Lat:22.1934| Long:-48.0601),Arietis Sector MX-U c2-19 8 e,8 e,1926,22.1934,-48.0601,Thargoid Spire,Odyssey
,Ceti Sector BQ-Y b4,-49.90625,-146.65625,-81.1875,Thargoid Spire Sites,,Thargoid Spire on body 8 b (1029 ls from star) at (Lat:61.4888| Long:-120.678),Ceti Sector BQ-Y b4 8 b,8 b,1029,61.4888,-120.678,Thargoid Spire,Odyssey
,Pegasi Sector KC-U b3-4,-163.34375,-70.96875,-30.125,Thargoid Spire Sites,,Thargoid Spire on body B 2 (4839 ls from star) at (Lat:51.8629| Long:10.9831),Pegasi Sector KC-U b3-4 B 2,B 2,4839,51.8629,10.9831,Thargoid Spire,Odyssey
,Arietis Sector HG-X b1-0,-8.4375,-68.375,-182.5625,Thargoid Spire Sites,,Thargoid Spire on body 5 (107 ls from star) at (Lat:50.5895| Long:54.6366),Arietis Sector HG-X b1-0 5,5,107,50.5895,54.6366,Thargoid Spire,Odyssey
,Pegasi Sector NN-S b4-3,-135.1875,-45.375,-15.4375,Thargoid Spire Sites,,Thargoid Spire on body 2 (455 ls from star) at (Lat:-1.1105| Long:31.4136),Pegasi Sector NN-S b4-3 2,2,455,-1.1105,31.4136,Thargoid Spire,Odyssey
,Pegasi Sector NN-S b4-9,-135.15625,-61,-20.0625,Thargoid Spire Sites,,Thargoid Spire on body A 1 (489 ls from star) at (Lat:22.6455| Long:-92.8602),Pegasi Sector NN-S b4-9 A 1,A 1,489,22.6455,-92.8602,Thargoid Spire,Odyssey
,Pegasi Sector NN-S b4-7,-138.3125,-57.125,-22.84375,Thargoid Spire Sites,,Thargoid Spire on body 2 (637 ls from star) at (Lat:33.9745| Long:28.2928),Pegasi Sector NN-S b4-7 2,2,637,33.9745,28.2928,Thargoid Spire,Odyssey
,Col 285 Sector NG-E b12-0,119.1875,-164.21875,-104.1875,Thargoid Spire Sites,,Thargoid Spire on body 7 d (679 ls from star) at (Lat:-27.6598| Long:-148.9617),Col 285 Sector NG-E b12-0 7 d,7 d,679,-27.6598,-148.9617,Thargoid Spire,Odyssey
,Col 285 Sector EA-Q c5-5,132.375,-158.1875,-107.03125,Thargoid Spire Sites,,Thargoid Spire on body 5 (5795 ls from star) at (Lat:50.3334| Long:40.7242),Col 285 Sector EA-Q c5-5 5,5,5795,50.3334,40.7242,Thargoid Spire,Odyssey
,Col 285 Sector SX-Z b14-0,176.0625,-63.625,-42.53125,Thargoid Spire Sites,,Thargoid Spire on body 3 (891 ls from star) at (Lat:28.8511| Long:-48.869),Col 285 Sector SX-Z b14-0 3,3,891,28.8511,-48.869,Thargoid Spire,Odyssey
,Pegasi Sector IH-U b3-4,-154.5625,-52.59375,-43.8125,Thargoid Spire Sites,,Thargoid Spire on body AB 1 e (1653 ls from star) at (Lat:52.1085| Long:-37.0889),Pegasi Sector IH-U b3-4 AB 1 e,AB 1 e,1653,52.1085,-37.0889,Thargoid Spire,Odyssey
,Hyades Sector DX-H a11-1,-5.03125,-39.9375,-159.4375,Thargoid Spire Sites,,Thargoid Spire on body 1 (563 ls from star) at (Lat:-3.1057| Long:83.7539),Hyades Sector DX-H a11-1 1,1,563,-3.1057,83.7539,Thargoid Spire,Odyssey
,HIP 22350,-1.5,-41.9375,-162.75,Thargoid Spire Sites,,Thargoid Spire on body A 4 (179 ls from star) at (Lat:29.6471| Long:-5.8841),HIP 22350 A 4,A 4,179,29.6471,-5.8841,Thargoid Spire,Odyssey
,Col 285 Sector VS-Z b14-3,201.5625,-74.5,-44.6875,Thargoid Spire Sites,,Thargoid Spire on body C 6 (9656 ls from star) at (Lat:74.6453| Long:-82.6007),Col 285 Sector VS-Z b14-3 C 6,C 6,9656,74.6453,-82.6007,Thargoid Spire,Odyssey
,HIP 20187,5.25000,-71.62500,-152.43750,Thargoid Spire Sites,,Thargoid Spire on body AB 1 b (3292 ls from star) at (Lat:32.7509| Long:120.8423),HIP 20187 AB 1 b,AB 1 b,3292,32.7509,120.8423,Thargoid Spire,Odyssey
