Species,Species Id,Reward,Count,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16
Stratum Paleas,24202,"102,500",5258,,Emerald - F,Lime - K,Green - M,Turquoise - L,Grey - T,Amethyst - TTS,,Indigo - Y,,Mauve - D,,,,,,
Stratum Laminamus,24203,"179,500",622,,Emerald - F,Lime - K,Green - M,Turquoise - L,Grey - T,Amethyst - TTS,,Indigo - Y,,,,,,,,
Stratum Araneamus,24204,"162,200",473,,Emerald - F,,,,,,,,,,,,,,,
Stratum Limaxus,24205,"102,500",409,,Emerald - F,Lime - K,Green - M,Turquoise - L,Grey - T,Amethyst - TTS,,Indigo - Y,,Mauve - D,,,,,,
Stratum Cucumisis,24206,"711,500",539,,Emerald - F,Lime - K,Green - M,Turquoise - L,Grey - T,Amethyst - TTS,Teal - Ae,Indigo - Y,,Mauve - D,,,,,,
Stratum Tectonicas,24207,"806,300",6762,,Emerald - F,Lime - K,Green - M,Turquoise - L,Grey - T,Amethyst - TTS,,Indigo - Y,Red - W,Mauve - D,,,,,,
Stratum Frigus,24208,"171,900",149,,Emerald - F,Lime - K,Green - M,,Grey - T,Amethyst - TTS,,Indigo - Y,,,,,,,,
Tubus Conifer,24301,"315,300",962,,,,Indigo - A,Grey - F,Red - G,Maroon - K,Teal - M,Turquoise - L,Mauve - T,Ocher - TTS,,Yellow - D,Amethyst - N,,,
Tubus Sororibus,24302,"557,800",516,,,Emerald - B,Indigo - A,Grey - F,Red - G,Maroon - K,Teal - M,Turquoise - L,Mauve - T,Ocher - TTS,,,Amethyst - N,,,
Tubus Cavas,24303,"171,900",896,,,,Indigo - A,Grey - F,Red - G,Maroon - K,Teal - M,Turquoise - L,,Ocher - TTS,,,Amethyst - N,,,
Tubus Rosarium,24304,"400,500",1110,,Green - O,Emerald - B,Indigo - A,Grey - F,Red - G,Maroon - K,Teal - M,Turquoise - L,Mauve - T,Ocher - TTS,,,Amethyst - N,,,
Tubus Compagibus,24305,"102,700",2742,,,Emerald - B,Indigo - A,Grey - F,Red - G,Maroon - K,Teal - M,Turquoise - L,Mauve - T,Ocher - TTS,Lime - W,Yellow - D,Amethyst - N,,,
Frutexa Flabellum,24401,"127,900",2291,,Yellow - O,Lime - B,Green - F,Emerald - G,Grey - M,Teal - L,Mauve - TTS,,,Indigo - D,Red - N,,,,,
Frutexa Acus,24402,"400,500",3093,,,Lime - B,Green - F,Emerald - G,Grey - M,Teal - L,Mauve - TTS,,Orange - W,Indigo - D,Red - N,,,,,
Frutexa Metallicum,24403,"118,100",2395,,,Lime - B,Green - F,Emerald - G,Grey - M,Teal - L,Mauve - TTS,,,,Red - N,,,,,
Frutexa Flammasis,24404,"500,100",780,,,Lime - B,Green - F,Emerald - G,Grey - M,Teal - L,Mauve - TTS,,,Indigo - D,Red - N,,,,,
Frutexa Fera,24405,"118,100",759,,,,Green - F,Emerald - G,Grey - M,Teal - L,Mauve - TTS,,,Indigo - D,Red - N,,,,,
Frutexa Sponsae,24406,"326,500",401,,,Lime - B,Green - F,Emerald - G,Grey - M,Teal - L,Mauve - TTS,,,,Red - N,,,,,
Frutexa Collum,24407,"118,500",96,,,Lime - B,Green - F,Emerald - G,Grey - M,Teal - L,Mauve - TTS,,,,Red - N,,,,,
Tussock Pennata,24501,"320,700",330,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,Red - Y,,,,,,,
Tussock Ventusa,24502,"201,300",740,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,Red - Y,,Maroon - D,,,,,
Tussock Ignis,24503,"130,100",2463,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,Red - Y,Orange - W,Maroon - D,,,,,
Tussock Cultro,24504,"125,600",3962,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,Red - Y,,Maroon - D,,,,,
Tussock Catena,24505,"125,600",1002,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,Red - Y,,Maroon - D,,,,,
Tussock Pennatis,24506,"59,600",1434,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,Red - Y,,Maroon - D,,,,,
Tussock Serrati,24507,"258,700",875,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,,,,,,,,
Tussock Albata,24508,"202,500",1184,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,,Orange - W,Maroon - D,,,,,
Tussock Propagito,24509,"71,300",2296,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,Red - Y,,Maroon - D,,,,,
Tussock Divisa,24510,"125,600",1327,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,,,Maroon - D,,,,,
Tussock Caputus,24511,"213,100",1666,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,Red - Y,,,,,,,
Tussock Triticum,24512,"400,500",464,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,,,Maroon - D,,,,,
Tussock Stigmasis,24513,"806,300",145,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,,,,,,,,
Tussock Virgam,24514,"645,700",691,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,,,,,,,,
Tussock Capillum,24515,"370,000",565,,Yellow - F,Lime - G,Green - K,Emerald - M,Sage - L,Teal - T,,,Red - Y,,Maroon - D,,,,,
